SquareFeet,Bedrooms,Bathrooms,HouseAge,DistanceToCityCenter,GarageSpaces,Neighborhood,Price
1912,2,4.0,21,19.1,1,Suburban,10485952.64
1384,3,2.0,14,3.6,2,Suburban,9179816.26
1018,1,1.5,27,1.0,1,Gated Society,7724017.56
1444,2,1.5,9,3.8,0,Suburban,8542717.4
1205,2,1.5,8,1.0,2,City Center,10152137.63
2728,2,3.0,10,5.1,1,Suburban,14310721.77
2285,5,1.0,15,2.7,2,City Center,15071580.42
1796,1,3.0,9,4.2,1,Suburban,10344088.34
2614,3,2.5,16,6.2,0,Suburban,13455023.48
1843,2,3.5,18,13.2,0,Rural / Outskirts,8254459.15
1326,5,3.5,1,7.0,1,Suburban,9018584.3
2638,1,1.0,23,3.7,2,Suburban,13559921.79
2096,2,2.5,22,11.1,1,City Center,12623773.65
1230,3,1.0,1,15.3,2,Rural / Outskirts,6616261.92
1695,3,3.5,5,1.0,2,City Center,12626215.94
1318,2,4.0,18,4.9,2,Suburban,8485215.73
1039,2,3.0,7,2.2,1,City Center,9249524.22
2309,2,1.5,25,1.0,2,Gated Society,13697743.79
2850,2,3.5,28,7.2,1,Suburban,14206053.49
1031,2,2.0,2,12.9,1,Suburban,6675652.16
2110,3,1.5,25,1.2,0,Suburban,11361370.57
1442,2,3.5,13,10.9,1,Rural / Outskirts,7133052.88
1532,2,3.0,24,12.5,0,Suburban,8615982.16
1474,3,1.0,15,16.0,1,Gated Society,9150743.21
1325,4,4.0,0,2.0,1,Rural / Outskirts,8185729.55
1827,3,4.0,20,15.2,1,Rural / Outskirts,9146457.31
1343,1,1.5,2,2.5,2,Suburban,8340696.02
1949,1,3.0,21,5.2,1,Rural / Outskirts,9258067.35
1772,4,4.0,25,1.0,1,City Center,12831314.56
1669,2,4.0,17,1.0,0,Suburban,9755581.32
1301,1,2.5,8,8.3,2,Rural / Outskirts,6817753.1
1483,3,2.0,5,3.8,0,Suburban,9220660.0
2215,3,1.5,22,1.9,1,Suburban,12000414.67
2076,3,1.0,20,1.4,1,Suburban,11619779.33
1262,2,4.0,24,7.2,2,Suburban,8267091.57
1855,1,2.5,0,1.0,1,Suburban,10681077.96
2213,4,3.0,20,10.7,2,Gated Society,13809041.79
882,2,4.0,26,1.0,0,Rural / Outskirts,4964031.32
2099,3,2.0,9,1.4,1,Gated Society,13354860.79
1436,3,1.0,26,3.2,1,City Center,10333057.17
2114,3,3.0,5,4.3,0,Rural / Outskirts,10565406.8
1380,2,3.0,22,2.9,1,Suburban,8513224.03
807,2,1.5,11,2.5,1,City Center,8090844.96
905,3,4.0,3,21.6,1,City Center,7832579.33
1826,4,1.5,27,6.7,2,Suburban,10659142.8
1943,4,1.0,12,1.0,1,City Center,13253153.74
1303,1,4.0,16,3.7,2,City Center,10438533.23
2151,2,3.5,26,13.5,1,Suburban,11290147.9
886,4,4.0,7,2.3,1,Suburban,7581585.59
1764,3,3.5,25,1.0,1,Suburban,10172475.05
1134,4,3.0,19,9.2,0,Gated Society,8487818.09
1441,2,1.5,2,6.1,0,Gated Society,9802606.87
1826,3,2.0,11,5.5,1,Suburban,10620645.32
1327,3,4.0,6,1.0,2,City Center,11214280.34
1588,3,2.0,11,1.0,2,Rural / Outskirts,8915375.06
2353,2,4.0,1,6.3,0,City Center,14687943.47
1483,1,3.0,23,1.5,2,Rural / Outskirts,7889530.74
2260,3,1.5,13,4.6,2,City Center,14690803.84
1179,2,1.0,21,5.1,1,Rural / Outskirts,5989394.37
2091,2,1.0,22,2.2,2,Suburban,11557199.45
2593,4,1.0,29,19.3,1,Suburban,12611577.19
600,2,4.0,4,12.0,1,Gated Society,6702597.78
1362,3,4.0,8,8.3,1,Suburban,8947162.39
2117,2,2.0,20,1.0,1,Suburban,11553352.01
1688,3,1.5,10,1.0,1,Suburban,9965212.7
2004,5,4.0,4,4.4,1,Gated Society,13519420.55
1468,1,1.5,2,1.1,2,City Center,10881394.4
1848,1,2.0,26,24.9,2,City Center,11067168.15
1714,2,4.0,16,1.1,2,Suburban,10825977.38
2442,1,1.0,1,4.3,2,City Center,15092828.46
1940,3,1.0,23,2.9,2,Gated Society,12659983.64
1986,4,3.0,0,6.6,0,City Center,13435326.75
1573,2,3.5,6,1.0,1,Suburban,10006983.02
1532,2,2.5,29,3.7,1,City Center,10580256.11
1562,2,3.5,13,2.1,2,Suburban,9853394.88
2017,3,4.0,4,14.2,1,City Center,13056477.14
1568,1,1.5,18,1.0,2,City Center,11256874.98
1959,3,4.0,27,15.9,0,City Center,12165311.5
2941,3,1.5,27,11.6,1,Rural / Outskirts,12820375.24
2279,3,1.5,10,2.3,2,City Center,14621996.68
1621,2,3.5,22,10.1,0,Gated Society,10521460.58
2461,3,2.5,24,1.0,1,City Center,15277077.38
1576,1,3.0,1,22.1,1,City Center,10560136.68
679,2,3.5,7,4.9,1,Suburban,5930898.15
1246,4,2.5,8,2.3,2,Suburban,8948019.39
771,3,1.0,26,2.9,1,Rural / Outskirts,4489504.22
1607,1,1.0,2,1.0,1,Rural / Outskirts,8174577.89
1810,2,1.5,1,29.5,0,Gated Society,9830102.56
2722,2,2.0,6,1.0,2,Suburban,14842751.16
1980,2,4.0,4,6.9,1,Suburban,11620428.95
1679,2,4.0,20,3.8,1,Suburban,9937413.91
2256,1,1.5,25,19.3,2,Rural / Outskirts,9589552.72
600,2,2.0,4,1.8,1,Suburban,5409456.38
1930,3,2.5,19,4.9,2,Suburban,11535158.99
2224,3,1.0,12,4.3,1,City Center,13938891.25
987,3,4.0,20,7.9,1,City Center,9108496.58
2429,1,3.5,28,1.0,0,Rural / Outskirts,11176676.73
1986,4,2.0,19,1.4,2,Suburban,11762346.59
1572,3,2.5,28,1.6,2,Suburban,9560745.05
2148,3,1.0,5,8.7,1,City Center,13438446.09
3049,3,3.5,19,1.4,1,Gated Society,17373985.74
1900,4,2.0,17,5.5,2,City Center,12984773.95
1937,3,1.5,24,1.6,2,Gated Society,12422653.46
1547,2,1.5,1,12.9,2,City Center,11052205.11
1333,3,1.5,24,18.5,1,Rural / Outskirts,6258574.94
2257,3,4.0,25,4.8,2,Gated Society,13825608.3
1329,3,2.5,5,2.8,1,City Center,10962225.95
1839,3,1.5,8,1.7,1,Suburban,10798885.7
1537,1,4.0,24,1.0,1,Suburban,9658905.05
2063,2,3.0,2,2.0,3,City Center,14010048.26
1984,4,4.0,0,6.9,1,Rural / Outskirts,11160508.25
2371,3,1.0,0,5.0,1,Suburban,12940454.12
1519,3,4.0,18,18.7,2,Suburban,9065404.38
1652,2,2.5,4,3.3,1,City Center,11760127.9
1262,2,3.5,12,7.7,2,Suburban,8060501.37
1556,4,4.0,18,4.4,2,Rural / Outskirts,8822088.58
2008,3,1.5,11,4.7,0,Suburban,10987276.34
2216,3,1.0,15,2.0,3,Rural / Outskirts,11380104.31
1293,2,2.0,24,3.9,2,Rural / Outskirts,7049904.9
2278,3,1.5,24,4.1,2,City Center,14368431.53
2546,2,1.0,18,8.0,2,City Center,15074665.52
2027,3,3.0,2,18.4,2,Rural / Outskirts,10116586.19
2832,2,2.0,11,2.6,0,Suburban,14153512.57
1374,2,3.0,29,1.0,1,City Center,10068545.59
1115,3,3.5,4,4.5,2,Suburban,8058041.98
822,4,1.0,1,5.1,1,Suburban,6612710.71
2623,1,3.0,21,1.2,0,Gated Society,14241691.28
2160,3,3.5,6,9.3,2,City Center,14184338.24
1769,2,1.0,12,27.3,2,City Center,10598015.14
1954,2,1.0,24,18.9,0,Rural / Outskirts,8207088.78
1181,1,3.0,14,,2,Gated Society,9243978.01
3145,2,1.0,21,13.5,2,Suburban,15230384.07
1871,3,1.5,2,7.9,1,Gated Society,11607707.03
1860,1,1.0,27,3.9,2,Suburban,9990814.1
2199,3,2.5,20,5.1,1,Gated Society,13324452.7
2065,4,3.5,19,12.3,0,Suburban,11454430.8
1923,1,1.0,4,4.3,1,City Center,12747712.83
1365,3,2.5,23,3.0,1,Gated Society,10013329.67
2059,2,1.0,7,4.4,1,Suburban,11311459.78
2835,3,1.0,21,5.6,2,Rural / Outskirts,13315656.56
2540,2,3.0,0,1.4,2,Suburban,14097271.86
2676,2,1.5,7,15.0,1,Rural / Outskirts,12324219.14
1519,2,3.5,23,7.3,2,Rural / Outskirts,7932286.3
1256,1,1.5,17,6.5,0,City Center,9177197.96
1731,2,2.0,19,1.0,0,Gated Society,10850960.45
1831,3,3.0,27,6.0,2,Suburban,10432836.37
2402,4,3.0,15,1.0,0,Rural / Outskirts,11971339.21
869,3,1.5,17,1.0,1,Suburban,6536272.91
2641,3,4.0,19,4.9,2,Gated Society,15709219.04
1713,1,3.0,11,3.4,1,Suburban,9772861.9
1565,2,1.5,12,5.8,2,City Center,11264494.58
1243,2,3.0,12,1.0,1,City Center,10403587.14
890,2,1.0,9,3.7,0,Suburban,5815366.91
2253,3,1.5,6,1.2,1,Gated Society,13453557.53
1840,3,1.5,24,28.3,1,Suburban,9237764.49
1091,2,2.5,13,5.4,1,Gated Society,8235747.24
1088,2,3.0,29,7.6,1,Suburban,6835187.05
1615,3,3.0,23,2.6,2,Suburban,10133526.34
2718,3,1.5,15,1.0,2,City Center,16539939.29
1657,2,1.0,14,24.2,1,Gated Society,9537208.18
973,4,1.0,11,2.2,1,Rural / Outskirts,5966631.4
1665,4,3.5,8,3.6,1,Suburban,11052368.54
1650,2,1.0,7,6.8,2,City Center,11902512.49
600,2,3.0,17,1.0,3,City Center,7756129.44
1770,3,4.0,22,10.8,1,Gated Society,11565159.88
1673,4,2.5,17,5.0,2,Suburban,10518591.4
2183,4,1.5,12,2.1,1,Gated Society,13605587.34
2817,1,2.0,27,1.0,0,Suburban,13728983.61
2420,2,2.5,26,1.2,0,Gated Society,13857246.25
1652,3,4.0,17,14.7,1,Gated Society,10720811.82
1191,3,2.0,14,7.5,1,Suburban,7673379.19
3215,2,2.5,3,,0,Suburban,16244427.16
1833,4,1.0,16,1.0,2,City Center,13151568.23
1808,3,3.0,4,7.6,1,Suburban,10589407.16
1787,3,4.0,21,5.5,1,Rural / Outskirts,9123803.86
1909,4,2.0,15,3.4,1,Suburban,11350828.8
1721,3,4.0,8,2.9,0,Gated Society,11636720.52
1484,2,2.5,9,1.6,1,Suburban,9225664.67
1499,3,3.0,23,7.2,1,City Center,11119720.83
1782,2,4.0,17,22.9,1,Suburban,9657366.11
1501,3,2.0,16,,0,Suburban,8707687.77
1408,2,1.5,17,5.9,1,Suburban,8311920.63
1859,3,2.5,6,3.6,0,City Center,12423952.38
1660,2,1.5,3,3.8,2,Suburban,9997377.2
2627,1,1.0,25,1.9,2,City Center,15307687.49
600,2,1.5,4,11.3,0,City Center,6516626.18
2400,1,1.5,27,4.3,1,Suburban,11934950.42
2485,3,3.5,22,5.1,0,Suburban,12958818.81
660,3,2.5,15,2.4,1,Rural / Outskirts,4691029.45
1612,3,1.0,2,1.3,1,Suburban,10211165.77
1596,2,1.5,25,1.0,1,Gated Society,10047314.15
1026,1,3.0,17,8.1,1,Suburban,6570728.64
1372,1,2.0,28,1.4,2,Gated Society,9611153.54
1189,2,1.5,22,7.6,1,Suburban,7205931.32
2764,4,1.0,20,3.2,1,Rural / Outskirts,13022336.41
2315,2,1.5,13,3.5,1,Suburban,12278497.91
2499,2,2.0,14,4.1,2,Gated Society,14676687.04
2197,1,1.0,16,3.0,2,Suburban,11685105.42
1179,2,2.5,0,1.0,1,City Center,10088163.61
1512,3,1.0,24,,2,Gated Society,10416951.11
2069,3,2.5,20,7.1,1,City Center,13214929.31
1128,2,1.0,16,7.1,2,Suburban,7422082.42
2192,1,4.0,22,2.2,2,City Center,13985451.51
1668,2,2.0,24,4.0,0,Suburban,9036615.76
1594,2,2.0,10,1.4,2,Rural / Outskirts,8959135.1
2191,2,1.0,16,1.5,1,Suburban,11783697.06
2044,4,4.0,25,1.0,1,Gated Society,12781778.27
1601,3,1.5,13,14.8,1,Suburban,9220054.07
2438,3,2.0,28,1.5,2,Suburban,13476375.2
1205,2,2.5,19,1.7,1,Rural / Outskirts,6631791.6
2139,2,2.5,29,2.1,0,Rural / Outskirts,10093994.34
2126,3,3.0,18,1.0,2,Gated Society,13956953.62
1630,3,3.5,20,6.6,0,Suburban,9349695.68
1979,3,4.0,6,1.0,0,Suburban,11718783.21
1112,2,3.5,23,1.0,1,City Center,9843946.48
2308,3,3.5,12,6.7,1,Suburban,13183782.43
1698,2,2.5,17,2.7,1,Suburban,9843203.38
1513,4,3.0,22,8.0,0,Gated Society,10632427.15
2377,3,3.5,29,5.3,3,Rural / Outskirts,12128373.53
1413,3,3.5,13,1.9,2,Suburban,9793238.61
1025,1,1.0,0,6.8,1,City Center,8749567.76
944,3,1.0,6,1.0,1,Rural / Outskirts,5812780.32
2133,1,1.0,7,5.0,1,City Center,13607289.68
1096,2,1.5,17,3.7,1,Suburban,7050550.21
2765,2,3.5,8,2.0,0,City Center,16799410.97
655,3,1.5,0,6.0,0,Suburban,5911924.01
2733,2,3.0,28,13.3,2,Rural / Outskirts,12716448.7
1916,2,4.0,21,30.0,1,City Center,11392288.78
1747,4,2.5,16,6.1,1,Suburban,10493898.36
1500,2,3.5,18,3.4,2,Suburban,9217534.99
2020,3,2.5,26,1.7,2,Rural / Outskirts,10237035.61
1779,2,4.0,5,1.9,1,Rural / Outskirts,9639028.12
2407,1,1.0,2,4.2,2,City Center,14507591.78
1863,3,3.5,23,3.0,0,City Center,12479975.96
1883,1,2.0,4,15.9,2,Suburban,10506169.16
1600,3,1.5,1,3.0,1,Suburban,9875214.47
1769,3,1.5,19,3.0,2,Gated Society,11852853.1
1969,3,3.5,24,3.1,3,City Center,13803270.44
859,3,4.0,3,11.8,2,City Center,8807415.9
1058,2,1.0,9,6.8,2,Gated Society,8323691.24
2209,1,1.5,9,6.2,1,City Center,13538835.74
1894,3,1.0,23,2.6,1,Rural / Outskirts,8916615.95
1699,3,3.0,20,11.1,1,City Center,11795755.46
1810,3,2.5,10,1.0,2,City Center,13005691.59
1991,3,4.0,26,13.3,2,Rural / Outskirts,10005445.09
1503,3,2.0,15,4.7,1,Suburban,9253976.11
1372,3,2.5,25,3.3,2,Gated Society,10001639.27
1908,2,2.5,28,4.5,2,City Center,12635658.75
1262,3,3.0,28,7.2,3,Suburban,8464563.97
2025,2,1.5,29,1.0,2,Gated Society,12647714.22
864,2,2.0,16,13.3,1,Suburban,5766577.81
2366,4,1.5,15,3.8,0,Gated Society,14020069.79
2060,4,3.5,6,2.7,0,Suburban,11874359.84
1941,2,2.5,15,1.0,1,Suburban,11058732.18
2340,1,3.5,2,3.8,1,Suburban,13066775.82
2716,2,1.0,25,4.5,2,Suburban,13966887.78
2358,3,2.5,15,3.4,2,City Center,14892017.83
788,4,1.5,7,7.4,1,Suburban,6193310.9
1096,2,2.5,29,3.6,0,Suburban,6683730.82
1456,1,1.0,11,21.2,0,Suburban,7417133.59
1814,4,3.0,2,5.9,0,Gated Society,12248077.29
2085,2,3.5,16,10.7,1,Suburban,10674734.13
1401,3,3.5,20,1.0,1,Rural / Outskirts,7804550.58
1903,4,1.5,17,3.3,0,Suburban,10833674.86
1385,1,2.5,10,2.7,1,Suburban,8325314.16
1464,3,1.5,3,5.5,0,Gated Society,10030014.5
1026,1,3.0,15,12.8,1,Suburban,6654779.74
1292,2,2.5,16,1.0,1,Suburban,8392991.78
1057,3,2.5,8,1.0,1,City Center,9568475.12
1263,2,1.5,5,12.3,1,Suburban,7604384.49
2380,5,1.5,23,1.6,3,Suburban,13730982.84
1278,3,1.0,26,7.2,1,Rural / Outskirts,6430351.94
3248,2,4.0,19,5.1,1,Suburban,16255748.48
2071,2,4.0,24,11.6,2,Rural / Outskirts,9931644.05
1902,2,3.0,1,1.0,1,Gated Society,12687771.36
1328,2,4.0,8,1.0,2,Suburban,9153538.03
2185,1,1.0,27,5.3,1,Suburban,10918516.51
1483,2,3.5,20,19.0,1,Gated Society,9278041.19
1867,2,2.5,28,3.5,0,Rural / Outskirts,8912651.85
3208,3,1.5,5,2.6,1,City Center,18397395.05
1747,3,2.5,2,6.1,1,Suburban,10599862.61
2432,3,2.5,19,17.3,0,Suburban,12032069.82
1413,1,2.0,5,11.8,1,City Center,9832206.32
1781,2,3.5,6,30.0,1,Suburban,9222200.63
2774,3,2.0,0,1.0,0,Rural / Outskirts,13488271.42
1455,3,4.0,22,1.0,2,Suburban,9765322.38
2797,1,2.5,0,6.1,1,Gated Society,15821042.38
2189,3,1.5,4,11.2,0,Suburban,11545365.96
1491,3,2.5,5,2.2,1,Suburban,9644008.09
2148,3,3.5,12,1.8,2,City Center,14468614.24
2335,1,2.0,1,10.1,1,Gated Society,13503556.45
2142,3,1.5,14,1.0,1,Rural / Outskirts,10745414.78
936,3,2.5,14,3.0,1,Gated Society,8095909.43
1400,3,3.0,12,4.6,1,City Center,10775635.98
1664,3,3.5,25,,2,City Center,12075660.23
1759,3,3.5,24,8.5,2,City Center,12481494.39
2141,3,3.0,13,2.8,0,Suburban,12104433.32
1898,2,2.5,25,6.2,1,Gated Society,11410858.31
1066,3,3.5,21,5.7,2,City Center,9430888.21
2009,3,1.5,6,5.2,0,Gated Society,12215514.01
2136,3,2.5,13,6.6,3,Suburban,12264818.67
2108,2,2.5,25,2.0,2,Gated Society,12616601.18
2394,2,2.0,23,1.0,0,Rural / Outskirts,11296007.78
2259,4,3.5,26,1.0,2,City Center,14908741.11
2053,3,3.5,28,1.7,1,Rural / Outskirts,10426273.37
1761,4,3.0,9,4.5,2,City Center,12933863.56
886,3,2.0,16,11.9,1,Suburban,6170566.14
2036,3,4.0,13,7.9,1,Rural / Outskirts,10227366.54
1914,3,2.0,7,10.1,1,Rural / Outskirts,9484213.6
1949,4,3.5,3,2.8,2,Suburban,12038975.75
1098,3,2.5,25,3.4,0,Suburban,7170848.88
1205,3,2.0,15,3.3,1,Gated Society,9471800.15
2379,2,3.0,23,1.4,0,Gated Society,13842508.85
1778,3,2.0,12,1.0,1,City Center,12560989.34
2175,3,3.0,21,5.8,1,Gated Society,12956446.65
1816,2,4.0,26,29.4,1,Suburban,9110306.15
1816,2,2.0,24,1.2,1,Suburban,10362801.61
2316,2,3.0,26,1.0,0,Suburban,12288487.83
1516,2,2.0,19,9.8,0,Suburban,8408770.85
1853,2,4.0,17,1.9,0,Rural / Outskirts,9298867.39
1546,2,2.0,13,11.5,1,Suburban,8901592.45
1561,4,1.5,17,7.9,3,Rural / Outskirts,8819161.9
1630,3,3.0,4,18.9,0,City Center,11067995.07
1922,2,4.0,25,3.4,2,Gated Society,12180490.91
1537,1,3.0,8,7.1,2,Gated Society,10317760.91
2491,3,3.0,27,4.1,1,Gated Society,14613423.18
1308,2,1.0,2,6.5,1,Suburban,7948653.55
1697,3,4.0,7,3.9,2,Suburban,10865089.9
1558,3,2.0,19,1.4,0,Rural / Outskirts,7896402.31
2596,3,3.0,21,4.6,1,Gated Society,14835197.53
1908,2,3.5,9,4.9,2,City Center,13325908.53
2368,3,1.0,21,10.8,1,Gated Society,13496818.67
983,2,1.5,18,8.6,2,Suburban,6385583.13
1947,4,3.0,29,7.1,0,Suburban,10875559.82
2289,3,3.0,20,1.0,2,Rural / Outskirts,11769146.8
1845,2,1.0,27,8.3,1,Suburban,9879242.3
2386,2,2.0,2,4.5,1,Gated Society,14169720.75
1515,2,3.5,10,14.6,1,Suburban,9076830.51
2575,3,1.5,10,16.4,1,City Center,14940201.04
3064,2,3.0,16,1.0,2,Suburban,16052823.01
1600,3,2.0,15,11.2,1,City Center,10958537.64
1555,2,4.0,6,1.0,2,Gated Society,11195890.46
2599,3,3.5,3,3.0,1,Suburban,14230392.7
2669,3,4.0,29,5.1,0,Suburban,13900611.94
1512,3,3.5,22,1.0,0,City Center,11142962.12
1569,3,1.5,18,8.9,0,Suburban,8883824.78
1645,2,2.5,11,1.0,1,Gated Society,10894335.22
1061,1,3.5,14,1.2,1,City Center,9058175.4
1295,3,2.5,10,5.7,2,Suburban,8548442.19
1248,2,4.0,4,8.1,2,Rural / Outskirts,7618568.73
1378,2,3.5,4,16.2,0,Gated Society,9208777.36
1781,1,1.5,14,7.9,1,Gated Society,10795754.06
1929,2,1.0,28,7.2,1,City Center,12005858.46
2653,1,1.5,17,3.3,1,Suburban,13736609.28
1251,4,1.5,10,1.0,0,Rural / Outskirts,6758798.91
2341,2,1.0,25,1.0,0,Gated Society,13196418.09
1682,3,1.0,11,5.0,2,Suburban,9785311.47
1773,1,2.0,1,7.3,2,Gated Society,11004733.43
2171,3,3.5,19,3.5,0,Suburban,11855536.81
1183,2,4.0,14,8.5,1,City Center,9737289.49
2010,4,2.0,19,4.8,1,Gated Society,12526399.47
1892,4,1.0,3,1.0,2,Gated Society,12876637.73
2071,2,2.5,21,1.4,1,Suburban,11478365.73
1959,4,4.0,17,11.9,0,Rural / Outskirts,9694268.19
3150,5,2.5,5,8.4,2,Suburban,17185693.44
1449,3,1.5,22,14.6,1,Suburban,8061513.42
1508,3,3.0,26,1.0,1,Rural / Outskirts,8115117.98
1457,2,1.5,25,30.0,1,Gated Society,7914844.38
1494,3,1.5,18,1.5,1,Suburban,9184080.3
1449,1,3.0,10,1.0,1,City Center,10804501.11
2454,1,3.5,27,30.0,1,City Center,12979995.65
2581,5,1.0,23,2.1,1,Gated Society,15270429.78
1486,2,2.5,1,7.2,0,Suburban,8740188.82
1342,3,1.5,26,1.3,2,Gated Society,10124693.22
2059,3,3.0,7,5.6,0,Rural / Outskirts,9837713.03
1496,4,2.0,28,15.2,0,Gated Society,9535886.54
2148,5,1.5,10,2.5,2,Suburban,12791785.51
1912,2,2.5,4,7.2,2,Gated Society,12245844.52
966,1,1.0,17,1.4,2,Suburban,6540937.57
2651,2,1.5,22,6.4,1,City Center,15330553.08
2788,2,1.5,29,2.7,1,City Center,16134294.44
1463,1,3.5,17,1.5,2,Suburban,8867106.61
1587,2,3.0,13,2.4,2,Rural / Outskirts,8442322.36
1957,3,2.0,21,1.3,1,City Center,12856842.92
1984,3,2.0,9,15.1,2,City Center,12716787.39
2162,2,4.0,2,3.3,0,Rural / Outskirts,10936594.82
2906,3,1.0,8,1.8,3,City Center,17716280.71
1703,2,4.0,2,3.9,2,Gated Society,12105818.52
1361,1,2.5,10,2.5,2,Suburban,8767617.61
1041,3,1.0,11,8.9,2,City Center,9194205.55
1398,3,1.5,11,23.1,2,Rural / Outskirts,6424974.52
1782,3,1.5,2,3.7,0,City Center,12523941.38
2787,1,2.0,20,12.8,1,Suburban,13483643.64
1515,3,2.5,6,5.4,0,Suburban,9419939.29
1923,3,3.0,13,1.1,1,City Center,13022389.94
1791,3,2.5,23,7.6,2,City Center,12254744.43
2454,3,1.5,27,4.7,1,City Center,14894042.86
3190,4,3.0,10,6.8,1,City Center,18599026.4
1508,3,2.5,6,14.3,1,Gated Society,10029385.42
1531,3,2.5,24,3.8,2,Suburban,9728966.4
2374,5,3.0,20,15.0,0,Suburban,12384945.41
2175,3,1.5,9,9.0,1,Suburban,11808323.19
2816,2,2.5,10,4.4,0,Rural / Outskirts,13230430.73
2121,3,3.0,14,6.0,2,Rural / Outskirts,11237424.26
1602,2,3.5,18,2.6,0,Gated Society,10536895.99
2125,2,3.5,15,26.7,2,Rural / Outskirts,9506738.77
2410,3,1.5,21,7.2,1,Suburban,12553955.6
2251,4,3.0,20,1.0,0,Suburban,12642124.63
2079,4,3.5,27,2.6,2,Suburban,12330627.09
2387,2,3.0,19,6.3,0,Suburban,12597696.41
2443,3,2.5,11,1.0,1,Suburban,13649688.6
2560,2,1.5,17,1.0,0,Suburban,13103472.65
2157,5,3.5,22,3.9,1,Rural / Outskirts,11437306.78
1708,5,4.0,12,2.6,1,Gated Society,12303078.22
1881,3,2.5,4,3.7,1,Suburban,11292845.4
2464,3,4.0,3,2.0,0,Gated Society,15087226.14
1351,3,4.0,27,1.2,1,Suburban,9127622.63
2003,3,1.0,13,7.6,2,City Center,13074773.69
1584,1,1.0,7,4.7,2,Suburban,9172100.53
1816,2,1.5,8,1.5,1,Suburban,10569189.41
2503,3,3.5,24,2.5,1,City Center,15689953.05
1905,3,3.5,18,5.8,1,Gated Society,12226451.49
1826,2,3.5,2,1.0,1,Suburban,11274788.21
1052,4,3.0,4,1.0,0,Suburban,8039610.5
2210,2,2.5,20,1.0,1,City Center,13950781.21
2155,3,3.5,25,10.9,1,City Center,13632900.39
2990,3,2.5,17,9.1,1,Rural / Outskirts,13855231.18
1631,3,1.5,0,9.1,1,Suburban,9762648.01
1921,3,4.0,7,8.2,2,Rural / Outskirts,10040031.35
1937,2,3.5,18,7.2,0,Rural / Outskirts,9261131.81
2668,2,1.5,16,4.2,1,Suburban,13922544.05
1748,3,3.5,16,6.7,2,Suburban,10739186.44
1953,3,1.0,10,1.0,1,Rural / Outskirts,10019351.51
2134,2,2.0,1,6.3,1,Rural / Outskirts,10556046.34
1903,3,1.5,5,9.8,1,Suburban,10742372.29
1554,2,3.5,21,4.5,0,Gated Society,10019229.72
1907,3,2.0,13,2.9,1,Gated Society,12186804.63
2390,3,1.5,2,2.1,2,Suburban,13531370.84
1235,2,3.0,11,6.7,0,Suburban,7514107.37
1873,1,3.5,3,7.7,1,Gated Society,11491783.93
1415,3,3.0,11,13.3,2,Gated Society,10262689.89
2457,3,1.0,12,2.7,2,City Center,15346050.93
962,3,3.5,1,9.5,1,Suburban,7263696.27
1493,3,4.0,1,5.4,2,City Center,12021612.83
2007,3,1.0,14,13.9,1,City Center,12360109.95
2661,4,2.0,22,4.9,0,Rural / Outskirts,12510070.76
1764,3,1.5,28,4.7,1,City Center,12075032.17
1495,3,2.5,16,5.6,1,City Center,10981042.03
2835,2,1.0,6,9.0,2,Suburban,14512146.05
1004,2,2.5,29,21.7,0,Suburban,5314792.13
600,3,2.5,27,1.0,1,Suburban,5287646.24
2042,2,1.5,13,1.0,1,City Center,13454386.64
1524,4,2.0,11,18.0,1,City Center,10332997.32
1238,3,1.5,29,4.9,0,City Center,9229837.51
2190,3,3.5,16,6.2,1,Suburban,12275573.83
1934,2,1.0,13,4.3,2,Suburban,11185722.4
1490,1,2.5,5,1.0,1,Rural / Outskirts,7638659.44
1096,1,1.5,18,9.5,1,Suburban,6319679.16
2280,2,1.5,23,8.9,1,City Center,13445681.94
2158,1,1.5,5,2.4,1,Gated Society,13017906.97
1745,3,1.0,26,2.4,1,Suburban,9927551.38
2816,4,2.0,17,11.8,2,Gated Society,15704525.58
1211,4,4.0,23,1.0,3,Suburban,9113120.37
961,3,1.5,4,13.8,1,Suburban,6838458.8
1419,2,1.0,23,1.9,1,Gated Society,9626906.47
1775,4,2.5,23,5.8,2,Rural / Outskirts,9409620.42
1934,4,3.5,5,17.9,1,Suburban,11048753.58
1667,2,4.0,1,7.4,1,Suburban,10217010.49
1994,3,3.0,7,3.5,1,Suburban,11440221.72
1112,2,4.0,14,7.6,2,Rural / Outskirts,6422653.68
2594,3,4.0,14,2.7,1,Rural / Outskirts,12925943.9
1755,5,1.0,10,2.1,2,City Center,12878475.58
2415,1,3.0,21,30.0,2,City Center,13444501.89
1988,4,1.5,21,9.0,1,Suburban,10898481.18
2051,3,1.5,23,6.7,2,City Center,13194905.68
2113,5,4.0,0,2.9,2,Suburban,13058268.92
2046,2,1.0,17,1.0,1,City Center,13162295.9
2153,3,3.0,11,1.0,0,Suburban,12305142.53
2531,1,1.5,11,5.3,0,Rural / Outskirts,11351716.31
1908,2,2.5,24,9.3,1,Rural / Outskirts,9119430.27
2190,1,2.0,10,5.0,1,Suburban,11636547.78
1751,5,2.0,27,11.9,1,Suburban,9610759.11
2592,3,1.5,7,1.0,0,Rural / Outskirts,12488127.24
1428,4,3.0,27,3.0,2,City Center,11246997.18
2791,4,3.5,6,1.8,1,Gated Society,16689739.21
1778,1,1.5,22,3.9,1,Suburban,9684673.38
